CCID,bAC,bVC,lMC,rMC
110037,1.241,0.631,0.590,1.025
110182,0.518,5.618,1.108,0.823
120376,0.476,0.950,0.330,1.325
120409,0.278,1.911,0.449,1.459
120462,0.395,1.814,0.504,0.496
121111,0.154,1.237,0.453,0.327
120061,0.656,1.240,1.000,0.597
120123, NaN, NaN, NaN, NaN
120550,0.208,2.812,0.135,1.867
110606,0.556,0.884,0.734,1.283
120987, NaN, NaN, NaN, NaN
121685,0.181,3.049,0.771,0.457
110056,1.772,0.501,0.299,0.575
110126,0.918,0.822,1.752,1.415
120286, NaN, NaN, NaN, NaN
110098,0.315,1.032,1.650,0.704
110101,1.162,0.892,0.533,0.795
120276,0.436,1.499,0.436,0.645
120727,0.952,1.219,1.194,0.970
120816, NaN, NaN, NaN, NaN
110033,0.289,2.803,0.666,2.209
110045,0.326,0.353,0.292,0.888
120208,1.213,3.966,1.332,4.614
120234, NaN, NaN, NaN, NaN
120795,0.266,0.682,0.314,1.866
121194, NaN, NaN, NaN, NaN
122620,1.072,1.127,0.891,1.388
110174,0.260,0.717,1.620,1.605
110187,0.760,0.274,0.799,1.962
110411,0.181,2.076,0.564,1.328
120120,0.197,2.771,1.213,3.684
120469,0.288,1.319,1.049,1.449
121317,0.512,2.391,0.587,0.631
121795,0.325,0.413,0.313,0.371
120008,0.347,2.258,0.553,1.571
120182,0.780,0.798,1.380,1.433
120640,0.548,0.325,1.000,1.146
121144,0.082,1.154,0.106,0.437
121200,0.126,0.319,0.374,1.492
121411,0.606,0.549,0.670,0.741
121428,0.400,3.477,0.287,0.465
121479,0.727,2.804,2.036,1.958
120218,0.086,3.516,0.738,2.404
120309,0.232,3.233,1.418,1.290
120319,1.273,3.639,0.780,1.581
120764,0.826,0.958,0.706,0.660
121397,0.382,0.216,0.198,1.076
122172,0.151,4.367,0.238,1.401
122405,0.623,1.190,0.498,0.317
110069,0.924,1.287,0.741,1.650
110087,0.281,1.549,0.290,0.584
110319,1.950,0.194,0.663,2.612
120049,0.501,1.369,0.577,1.393
120166,0.241,3.145,0.662,1.483
120264,0.884,1.287,0.303,0.573
120313,0.280,1.100,0.367,0.401
120470,1.160,0.876,1.070,1.135
121106,1.286,1.001,0.996,2.368
121158,0.196,4.346,0.748,1.008
220526, NaN, NaN, NaN, NaN
221033,0.367,2.626,0.477,1.324
112141,0.577,1.712,0.177,0.916
210250,0.307,1.587,1.447,1.385
210519,0.917,0.672,0.288,0.380
212153,0.449,3.351,0.845,0.543
220115,2.044,2.746,0.389,1.111
220352,0.302,0.933,0.173,0.458
221038, NaN, NaN, NaN, NaN
221209,0.483,0.385,1.069,0.877
221373,0.374,1.473,1.152,1.698
222555,0.810,0.600,0.490,1.064
210148,1.820,2.640,0.551,1.923
220151,0.381,0.827,0.645,0.862
220518,0.167,4.059,0.787,0.702
221648,0.505,3.782,0.590,1.815
222652,1.198,1.167,1.100,2.340
210023,0.091,0.881,1.345,2.883
210172,0.700,0.728,0.949,1.328
210182,0.439,0.626,1.390,1.401
220132,1.433,0.839,0.641,1.178
220419,0.309,2.925,1.410,1.793
221054,0.104,1.081,0.556,2.033
221580, NaN, NaN, NaN, NaN
222797,1.100,2.845,0.497,0.914
210304, NaN, NaN, NaN, NaN
220098,1.764,4.910,0.968,1.189
220535,0.268,4.129,0.255,0.479
220610,0.218,0.913,0.116,0.244
221244,1.638,0.608,0.560,1.046
221565,0.754,0.737,1.295,3.299
221775,0.430,1.873,0.153,0.047
221828,0.716,0.762,0.816,0.902
221954,0.469,0.293,0.717,1.161
222185,0.344,5.195,1.187,1.102
222956,0.193,3.233,0.184,0.144
220223,0.711,1.307,0.640,1.081
220323,1.707,0.719,1.034,1.079
220394, NaN, NaN, NaN, NaN
220713,0.443,1.123,0.260,0.619
220828,0.620,2.201,0.578,1.998
221595,0.398,0.406,0.188,0.153
221886,1.334,1.908,1.017,1.119
210314, NaN, NaN, NaN, NaN
210422,0.235,1.203,0.486,1.139
210617,0.052,3.571,0.340,0.565
220107,0.248,4.294,0.290,0.506
220203,2.050,1.013,0.596,0.672
220284,0.724,1.630,0.266,1.042
220335,1.110,0.617,0.216,0.221
220920,0.670,1.914,0.854,2.391
221336,1.524,0.960,0.597,0.111
221527,0.767,2.131,0.801,1.347
221980,0.577,0.436,1.390,1.485
222125,0.337,0.795,0.501,1.167
210051,0.789,0.639,0.488,0.995
210124,1.097,3.338,0.782,2.401
220234,0.336,0.577,0.488,0.889
220506,0.112,2.617,0.173,0.238
220697,0.535,1.460,0.723,0.544
220806, NaN, NaN, NaN, NaN
220901,0.669,0.444,0.464,1.506
221107,0.224,3.088,0.708,1.055
221487,1.262,3.108,0.715,0.589
221740,1.219,0.556,0.814,0.460
222258,0.885,0.333,1.098,0.713
222326,1.104,0.327,0.734,2.088
210088,0.434,0.791,0.606,0.835
220232,0.659,4.445,0.163,0.954
220635,0.525,1.576,0.596,0.557
221040,1.449,3.173,1.074,1.657
221324,0.303,0.719,1.565,0.790
221511,0.238,3.614,1.097,1.891
221733, NaN, NaN, NaN, NaN
223115,0.583,0.731,0.520,1.596
223286,1.080,0.397,0.875,0.458
210526,1.460,2.671,1.128,1.240
210657,0.489,2.316,1.099,1.740
220198,1.258,0.901,1.255,0.686
220372,0.330,0.428,0.412,1.008
220567,0.304,3.841,0.556,0.536
220843,1.141,0.888,0.482,0.253
220974,0.723,0.366,0.947,1.991
220999,1.013,0.665,0.779,0.651
221002,0.769,2.491,0.805,1.654
221220,0.796,0.480,1.481,1.497
221352,1.240,3.562,0.608,0.913
221935,0.266,6.650,0.219,0.907
221977,0.642,0.588,0.429,1.238
222120,0.698,2.013,0.672,0.872
222264,0.375,2.051,1.350,0.508
222367,0.324,0.707,0.722,0.543
221031,0.411,1.141,0.764,0.249
222304,0.180,2.256,0.452,1.296
222496,0.467,0.393,0.545,1.155
223085,0.211,1.568,0.148,0.138
320267,1.095,4.781,1.102,0.462
310203,0.467,2.451,0.167,1.310
310407, NaN, NaN, NaN, NaN
320109,0.275,0.897,0.990,2.912
320417,1.374,0.907,1.412,1.936
320575,0.385,3.449,0.734,1.164
320616,0.419,1.198,0.448,0.840
321174,0.367,1.238,1.106,2.152
321506,0.537,4.059,1.165,1.680
321529,0.230,1.211,0.829,2.108
310129,0.171,0.356,0.438,0.654
310414,0.439,1.563,0.750,0.754
320022,0.714,0.946,0.314,0.914
320297,0.902,0.798,1.115,0.802
320321,0.725,0.426,0.960,0.489
320342,0.343,4.588,0.776,0.927
320478, NaN, NaN, NaN, NaN
320574,0.258,0.541,0.820,1.367
320686,0.446,5.468,0.435,2.332
321000,0.477,1.981,0.814,0.872
321025,0.105,1.463,0.156,0.662
321053,1.432,1.650,1.464,0.499
321087,1.568,1.019,0.413,0.695
310160,0.321,0.722,0.345,0.981
310391,0.217,0.662,0.805,0.676
310397,1.510,1.436,0.986,0.549
310410,0.159,1.424,0.346,0.453
320088,0.360,0.854,0.511,0.576
320680,0.302,1.218,0.196,0.328
320687,1.594,0.834,0.261,1.985
321069,0.357,1.048,0.133,0.807
321137,1.210,1.788,0.808,1.417
310051,0.626,0.491,0.479,0.870
310052,0.400,1.601,0.154,1.154
310135,0.144,1.245,0.686,0.482
320269, NaN, NaN, NaN, NaN
320448,0.296,0.468,0.323,0.822
320461,0.816,1.553,0.717,1.361
320651,0.989,1.480,0.660,0.955
320904,0.461,1.524,0.236,1.296
321428,1.017,1.983,2.051,0.742
321504,0.386,1.397,1.158,1.167
321976,1.243,0.504,0.304,0.622
310361,1.108,0.621,0.587,3.700
310400,0.535,4.431,1.165,1.143
320661,0.182,1.796,0.427,0.720
320814,1.011,1.558,0.906,0.705
321073,0.597,0.496,0.544,0.833
321594,0.304,0.438,1.091,1.537
310256,0.379,1.009,0.767,0.766
320325,0.251,2.645,0.324,0.748
320336,0.372,0.553,0.292,0.315
320568,0.616,5.116,1.090,1.745
320759,0.247,0.929,0.208,0.325
321107,1.168,3.970,0.726,0.684
321291,1.174,1.287,0.888,0.641
321544,0.858,5.489,0.352,0.826
321557,0.228,0.751,0.793,1.090
321585,0.719,0.766,0.272,0.248
321595,0.866,3.190,1.337,2.291
310008,0.434,4.995,0.566,1.109
310463,2.249,1.000,0.456,0.668
320202,0.910,0.698,0.726,0.911
320576,0.259,2.561,0.172,1.457
320608,0.309,1.204,1.582,1.986
320636,1.038,0.709,0.085,1.143
320698,0.519,2.416,0.283,1.043
321368,0.351,1.597,0.755,0.664
321464,0.401,1.581,0.862,0.895
310214,0.623,0.631,0.242,0.590
310331,0.646,0.345,0.509,0.859
310402, NaN, NaN, NaN, NaN
310450,0.415,3.297,0.864,0.720
310473,0.962,0.659,0.695,1.216
320002,0.567,3.142,0.447,0.391
320500,0.274,1.619,0.472,2.139
320621,0.899,0.615,0.850,0.443
321281,1.897,1.298,0.854,0.780
321331,0.838,0.845,0.754,0.506
321880,1.025,0.928,1.423,1.932
310086,0.295,2.519,0.740,1.438
310224,0.748,0.721,0.665,0.742
310252,1.034,0.798,0.692,0.986
312058,0.308,1.090,0.827,1.010
320089,1.279,0.585,1.151,0.469
320107,1.056,0.294,1.107,0.956
